Question,Datatype,Possible Answers,input type,required?,skip logic?,concept for question,concepts for answers,group name (if part of concept group),concept group mapping
Mentalhealth alertness,Coded,Alert | Somnolent | Unconscious,radio,No,no,CIEL:122943,CIEL:160282|CIEL:141762|CIEL:123818,,
Mentalhealth orientation Status,Coded,Oriented to person,checkbox,No,no,CIEL:167084,CIEL:167081,,
Mentalhealth orientation Status,Coded,Oriented to place,checkbox,No,no,CIEL:167084,CIEL:167082,,
Mentalhealth orientation Status,Coded,Oriented to time,checkbox,No,no,CIEL:167084,CIEL:167083,,
Mentalhealth appearance,Coded,Neat | Overweight | Thin,checkbox,No,no,CIEL:167092,CIEL:159438|CIEL:114413|CIEL:124905,Mentalhealth appearance,
Mentalhealth mood short,Coded,Depressed | Neutral | Elevated | Anxious | Irritable,checkbox,No,no,CIEL:167099 ,CIEL:119537|CIEL:167100|CIEL:166050|CIEL:121543|CIEL:6023,Mentalhealth mood short,
Mentalhealth affect,Coded,Appropriate | Labile | Restricted | Flat,checkbox,No,no,CIEL:167101 ,CIEL:167102|CIEL:167103|CIEL:167104|CIEL:167105,Mentalhealth affect,
Mentalhealth thought Process,Coded,Thoughtprocess goal | Thoughtprocess linearthought | Thoughtprocess circonf | Thoughtprocess tangential | Thoughtprocess flight | Thoughtprocess looseness,checkbox,No,no,CIEL:167106,CIEL:167108|CIEL:167109|CIEL:167107|CIEL:167110|CIEL:167111|PIH:14653,Mentalhealth thought Process,
Mentalhealth Thought Content,Coded,Thoughtcontent delusion | Thoughtcontent suicidal | Thoughtcontent homicidal | Paranoia | Thoughtcontent negativism,checkbox,No,no,CIEL:167112 ,CIEL:142600|CIEL:167113|CIEL:167114|CIEL:130853|CIEL:133436,Mentalhealth Thought Content,
Mentalhealth insight,Coded,Fair | Good | Poor,radio,No,no,CIEL:167115,CIEL:159406|CIEL:159405|CIEL:159407,,
Mentalhealth judgement,Coded,Fair | Good | Poor,radio,No,no,CIEL:167116,CIEL:159406|CIEL:159405|CIEL:159407,,
Comment,Coded,N/A,radio,No,no,CIEL:163044,,,
Past label,Coded,Yes | No,radio,Yes,no,CIEL:165529,PIH:YES|PIH:NO,,
Past label,Coded,Yes | No,radio,Yes,no,CIEL:129176,PIH:YES|PIH:NO,,
Current label,Coded,Yes | No,radio,Yes,no,CIEL:125562,PIH:YES|PIH:NO,,
Current label,Coded,Yes | No,radio,Yes,no,CIEL:148143,PIH:YES|PIH:NO,,
Mentalhealth date Suicide Attempt,Coded,N/A,radio,No,no,CIEL:165530,,,
Psychosocial counseling,Coded,Yes | No,radio,No,no,PIH:PSYCHOSOCIAL COUNSELING,PIH:YES|PIH:NO,,
Pih task mental Health Intake label,Coded,N/A,autocomplete,Yes,no,PIH:Mental health diagnosis,,,
Mental health diagnosis,Coded,N/A,autocomplete,No,no,PIH:Mental health diagnosis,,,
Mental health diagnosis,Coded,N/A,autocomplete,No,no,PIH:Mental health diagnosis,,,
Mental health diagnosis,Coded,N/A,autocomplete,No,no,PIH:Mental health diagnosis,,,
Pih task mental Health Intake label,Coded,Other diagnosis,checkbox,No,no,PIH:Mental health diagnosis,PIH:OTHER,,
Mentalhealth epilepsy Seizure Frequency,Coded,N/A,radio,No,no,PIH:6797,,Pih task mental Health Intake label,CIEL:161245
Mentalhealth cgis,Coded,N/A,radio,No,no,CIEL:163222,,,
Mentalhealth cgii,Coded,N/A,radio,No,no,CIEL:163223,,,
Mentalhealth cgie,Coded,N/A,radio,No,no,CIEL:163224,,,
Pih task mental Health Intake label,Coded,Other,radio,No,no,PIH:Mental health intervention,PIH:OTHER,,
Subform: drug-order-widget-mental-health.xml,Other,Subform — configuration/pih/subforms/drug-order-widget-mental-health.xml,subform,No,no,,,,
