"name","concept_id","source","code"
Packets,1349,PIH,"10339"
Each,1353,PIH,"10340"
Bag,1356,PIH,"10341"
Cartridge,1352,PIH,"10342"
Kit,1350,PIH,"10343"
Box,1355,PIH,"10344"
Dispensing units,1357,PIH,"10345"
Immunization visit,418,PIH,"10346"
Maternal and child health program,422,PIH,"10347"
Stage I,220,PIH,"10348"
Stage IVB,212,PIH,"10349"
Stage 0,225,PIH,"10350"
Stage IIA,223,PIH,"10351"
Stage II,224,PIH,"10352"
Stage IIB,214,PIH,"10354"
Stage IVA,215,PIH,"10355"
Stage IIC,213,PIH,"10356"
ECOG Performance Status,273,PIH,"10358"
Palliative treatment,191,PIH,"10359"
Stage IVC,221,PIH,"10360"
Stage IC,217,PIH,"10361"
Stage IIIA,222,PIH,"10362"
Stage IIIB,216,PIH,"10363"
Curative treatment,190,PIH,"10364"
Stage IB,219,PIH,"10365"
Stage IV,205,PIH,"10366"
Stage III,211,PIH,"10367"
Stage IA,226,PIH,"10368"
Boost treatment intent,6180,PIH,"10369"
Stage IIIC,218,PIH,"10372"
Overall cancer stage group,227,PIH,"10373"
Indication/intent of therapy,6181,PIH,"10374"
Life threatening severity,1444,PIH,"10375"
Severity of adverse reaction,1445,PIH,"10376"
Labor and delivery visit,423,PIH,"10377"
Birthplace address construct,88,PIH,"10378"
Address1 concept,86,PIH,"10379"
Address2 concept,85,PIH,"10380"
Address3 concept,84,PIH,"10381"
Country concept,81,PIH,"10382"
City Village concept,83,PIH,"10383"
State Province concept,82,PIH,"10384"
Leprosy visit,419,PIH,"10386"
Flushing,1400,PIH,"10389"
Dystonia,1394,PIH,"10390"
Hives,1402,PIH,"10391"
GI upset,1395,PIH,"10392"
Mental status change,1407,PIH,"10393"
Rapid test for HIV,2929,PIH,"1040"
"HIV ELISA, quantitative",3127,PIH,"1041"
"HIV ELISA, qualitative",3126,PIH,"1042"
Erythromycins,1431,PIH,"10426"
Statins,1428,PIH,"10427"
ACE inhibitors,1426,PIH,"10428"
Heparins,1427,PIH,"10429"
NSAIDs,1432,PIH,"10430"
Sulfonamides,1429,PIH,"10431"
Penicillins,1425,PIH,"10432"
Cephalosporins,1423,PIH,"10433"
ARBs (angiotensin II receptor blockers),1422,PIH,"10434"
Fish,1409,PIH,"10436"
Wheat,1416,PIH,"10437"
Eggs,1419,PIH,"10438"
Milk protein,1415,PIH,"10439"
Shellfish,1410,PIH,"10440"
Beef,1412,PIH,"10441"
Strawberries,1417,PIH,"10442"
Dairy food,1411,PIH,"10443"
Peanuts,1420,PIH,"10444"
Caffeine,1413,PIH,"10445"
Chocolate,1418,PIH,"10446"
Latex,1441,PIH,"10448"
Ragweed,1436,PIH,"10449"
Adhesive tape,1440,PIH,"10450"
Mold,1439,PIH,"10451"
Pollen,1437,PIH,"10452"
Dust,1435,PIH,"10453"
Bee stings,1438,PIH,"10454"
PIH Core allergic reactions,1408,PIH,"10456"
PIH Core drug allergies,1433,PIH,"10457"
